wdid,spectype,teff,Dteff,logg,Dlogg
2QZ J100334.1+001314,DA,24069.0,908.0,7.85,0.148
2QZ J100334.4+002851,DA,14886.0,,8.85,
2QZ J100409.7-011127,DA,14404.0,,7.837,
2QZ J100421.7-023757,DZ,8443.0,468.0,7.783,0.106
2QZ J100427.8-022146,DA,8162.0,,7.359,
2QZ J100523.5-011429,DQ,8376.0,233.0,7.8495,
2QZ J100533.9-015105,DA,14059.0,1439.0,8.568,0.093
2QZ J100734.4-023933,DA,12539.0,774.0,7.865,0.067
2QZ J101127.6-010826,DA:,6941.0,76.0,7.64,0.14
2QZ J101240.5-003335,DA,58529.0,2014.0,7.65,0.12
2QZ J101355.5-001307,DAO,59901.0,3026.0,8.22,0.25
2QZ J101558.3-020335,DA,39860.0,560.0,7.66,0.07
2QZ J101913.2-014044,DA,15637.0,,7.618,
2QZ J102010.0-014230,DA,14555.0,,7.78,
2QZ J102430.5-024613,DA,7916.0,,7.934,
2QZ J102704.2-020336,DA,7813.0,58.0,7.94,0.09
2QZ J102735.7+004547,DA,13891.0,,7.57,
2QZ J102807.8-013553,DBZA,14644.0,,8.69,
2QZ J102950.3-015653,DA,8944.0,102.0,7.69,0.17
2QZ J103024.3+002613,DZ,6747.0,161.0,8.0178,
2QZ J103048.7+015108,DAO,71250.0,7075.0,7.2,0.25
2QZ J103158.2+012052,DA,14952.0,,8.014,
2QZ J103233.4-022135,DA,13425.0,811.0,8.031,0.066
2QZ J103257.4-024012,DBZA,11010.0,518.0,8.6644,
2QZ J103351.6-002009,DA,16705.0,1002.0,8.44,0.218
2QZ J103536.4-011850,DB,24367.0,,8.0,
2QZ J103541.8-024422,DB+M,16257.0,100.0,7.912000000000001,0.009
2QZ J103616.9+004502,DA,10452.0,136.0,7.46,0.08
2QZ J103724.1+013527,DAH,20160.0,121.0,10.0,0.5
2QZ J103733.0-012357,DA,12826.0,1256.0,8.118,0.12
2QZ J103846.0-020634,DA,20640.0,217.0,7.94,0.04
2QZ J104050.8-002007,DA,21792.0,,7.176,
2QZ J104129.2+015438,DA,15831.0,1246.0,8.065,0.087
2QZ J104219.9-015224,DB,13523.0,,8.04,
2QZ J104254.2+011328,DA,7926.0,,7.151,
2QZ J104310.3-013516,DA,,,,
2QZ J104324.5-012533,DA,22540.11451153302,823.4268525568114,7.805072450118253,0.25
2QZ J104450.8-012434,DA:,7755.0,,7.997,
2QZ J104536.3-003526,DA,7878.0,126.0,7.39,0.26
2QZ J104923.7+000845,DC:,8105.0,,8.302,
2QZ J105059.3-024755,DA,9068.0,319.0,7.882,0.07
2QZ J105309.9+015301,DA,13451.0,1238.0,8.209,0.098
2QZ J105314.1-002534,DC,10259.0,,8.016,
2QZ J105327.6+000042,DBAH,14614.0,,7.83,
2QZ J105613.0-025046,DA,8606.0,365.0,7.904,0.095
2QZ J105649.5-011940,DA,8607.0,106.0,7.81,0.16
2QZ J105822.3-014136,DA:,6775.0,,8.045,
2QZ J105840.1-000503,DA,12037.0,655.0,8.949,0.167
2QZ J105915.6+010201,DA,7709.0,,7.169,
2QZ J110006.3-015548,DQ,7561.0,240.0,7.946,0.066
2QZ J110213.4-012451,DA,13585.0,892.0,8.248,0.06
