wdid,spectype,teff,logg,Dlogg,mass,Dmass
Gaia DR2 1067421801098857728,DC,4962.0,7.901,0.03,0.51,0.024
Gaia DR2 1071186318459220864,DC,4891.0,7.805,,0.467,
Gaia DR2 1077590114697601024,DC:,7224.0,8.199,,0.717,
Gaia DR2 1078762846927880192,DC,6191.0,8.535,,0.936,
Gaia DR2 1080303919849120128,DC,8358.0,8.007,0.008,0.581,0.007
Gaia DR2 1081514379072280320,DC,4417.0,7.866,0.014,0.498,0.012
Gaia DR2 1084764020047940096,DC,7921.0,8.111,0.023,0.645,0.014
Gaia DR2 1086097585917670784,DC,7677.0,8.396,,0.847,
Gaia DR2 108636215590811264,DC,7888.0,8.526,,0.933,
Gaia DR2 1094608119452121856,DC,8602.0,8.233,0.015,0.725,0.014
Gaia DR2 1094919590481107968,DC,6655.0,7.971,0.007,0.557,0.006
Gaia DR2 1095872381727479936,DC,7990.0,8.153,0.013,0.671,0.012
Gaia DR2 1104711321343372032,DC,7784.0,8.408,,0.856,
Gaia DR2 1114882147497840512,DC:,7983.0,8.18,0.033,0.689,0.03
Gaia DR2 1117334024067935872,DC,4740.0,8.061,0.058,0.617,0.037
Gaia DR2 1121999599796812544,DC:,9454.0,8.106,0.035,0.644,0.031
Gaia DR2 1132614349476009728,DC,6318.0,8.155,0.027,0.67,0.024
Gaia DR2 1135534927237104128,DC:,7417.0,8.444,,0.879,
Gaia DR2 1138042677038059904,DC,9796.0,8.158,,0.697,
Gaia DR2 1138596860961944704,DC:,,,,,
Gaia DR2 1140399961247676544,DC:,4905.0,7.904,,0.522,
Gaia DR2 1146255612287729280,DC,5110.0,7.924,0.043,0.536,0.035
Gaia DR2 1152639342435435904,DC:,5054.0,7.949,,0.549,
Gaia DR2 1154209685558171520,DC,5027.0,7.919,0.041,0.52,0.034
Gaia DR2 1166330259362301440,DC,10016.0,8.025,0.005,0.596,0.005
Gaia DR2 1171041215714699904,DC,4235.0,7.872,0.034,0.501,0.028
Gaia DR2 1175242896321238400,DC,5898.0,7.915,0.02,0.521,0.016
Gaia DR2 1176312965948448512,DC,6376.0,8.046,0.019,0.601,0.017
Gaia DR2 1197139189352207232,DC,5112.0,8.04,0.024,0.606,0.021
Gaia DR2 1201304517354978688,DC,5065.0,7.981,0.025,0.557,0.02
Gaia DR2 1211862818279517824,DC,5159.0,8.032,0.024,0.601,0.021
Gaia DR2 1216212932955510528,DC-IRfaint,4633.0,8.133,0.046,0.652,0.03
Gaia DR2 1218104543928648832,DC,5725.0,7.947,0.023,0.539,0.019
Gaia DR2 1222254066452610176,DC,6449.0,8.38,0.018,0.82,0.017
Gaia DR2 1222865601075380480,DC,6198.0,7.949,0.02,0.543,0.017
Gaia DR2 122341593670893440,DC,5135.0,,,1.005,0.057
Gaia DR2 1224133608563103872,DC,4868.0,,,0.913,0.0485
Gaia DR2 1225189552042779904,DC,7801.0,8.025,0.013,0.591,0.011
Gaia DR2 1229916112012470528,DC-IRfaint,4626.0,7.901,0.037,0.51,0.021
Gaia DR2 1230679413599906176,DC,5783.0,8.005,0.036,0.574,0.03
Gaia DR2 1232908123669385216,DC,5022.0,7.989,0.053,0.573,0.045
Gaia DR2 1238591671072637184,DC,5944.0,8.137,0.035,0.657,0.031
Gaia DR2 1241188721832696704,DC,8121.0,8.164,0.011,0.679,0.01
Gaia DR2 1242573758590597120,DC,5698.0,8.06,0.011,0.608,0.01
Gaia DR2 1246230047071154944,DC,7397.0,7.981,0.02,0.564,0.016
Gaia DR2 1249747212968218496,DC,4778.0,7.889,0.016,0.513,0.013
Gaia DR2 1254241707265648768,DC,5074.0,8.132,0.013,0.664,0.011
Gaia DR2 1256674514180403200,DC,5122.0,8.167,0.047,0.675,0.043
Gaia DR2 1258206340036418560,DC,4933.0,7.898,0.039,0.508,0.032
Gaia DR2 1263732043096088320,DC,4394.0,7.86,0.064,0.495,0.051
Gaia DR2 1264324847367179392,DC,5599.0,7.908,0.054,0.516,0.045
Gaia DR2 1265972946577735424,DC,5990.0,7.863,0.031,0.493,0.024
Gaia DR2 1265985590961480192,DC,6776.0,8.17,0.016,0.681,0.014
Gaia DR2 1267289165075531008,DC,5768.0,7.829,0.03,0.473,0.022
Gaia DR2 1269138715432182784,DC,4786.0,7.942,0.022,0.544,0.018
Gaia DR2 1269638134229067392,DC,5004.0,7.768,0.022,0.438,0.016
Gaia DR2 1271096675060378624,DC,6188.0,8.247,0.019,0.73,0.018
Gaia DR2 1272088876928180608,DC,4824.0,7.682,0.035,0.395,0.024
Gaia DR2 127302177818745472,DC,,,,,
Gaia DR2 1276297674297720576,DC,6053.0,8.047,0.009,0.601,0.008
Gaia DR2 127856640916806528,DC,8003.0,8.222,,0.734,
Gaia DR2 1281810110201241344,DC-IRfaint,4039.0,7.13,0.04,0.214,0.011
Gaia DR2 128436220983493632,DC,4934.0,7.067,,0.187,
Gaia DR2 128826375813389568,DC,6814.0,8.062,0.019,0.612,0.017
Gaia DR2 1289211434068336512,DC,5092.0,8.161,0.021,0.683,0.019
Gaia DR2 1290050262657404544,DC,6546.0,8.114,0.018,0.644,0.017
Gaia DR2 1292166062330701056,DC,5809.0,7.969,0.029,0.553,0.023
Gaia DR2 129352114170007680,DC,11060.0,9.449,0.067,1.33,0.016
Gaia DR2 1294193561772534016,DC,5140.0,7.815,0.037,0.475,0.028
Gaia DR2 1294793345366747776,DC,4824.0,7.679,0.047,0.403,0.032
Gaia DR2 1300334299853917184,DC,4608.0,7.843,0.035,0.486,0.027
Gaia DR2 1305209190813293440,DC,5850.0,7.798,0.029,0.457,0.021
Gaia DR2 1306692706877641600,DC,,,,,
Gaia DR2 1311859655613503232,DC,5619.0,7.536,0.016,0.333,0.01
Gaia DR2 1319952542230868096,DC,4899.0,7.814,0.041,0.462,0.031
Gaia DR2 1320147671184560896,DC:,5167.0,8.047,,0.61,
Gaia DR2 1325899461324069376,DC,7478.0,7.985,0.008,0.566,0.006
