wdid,spectype,teff,logg,Dlogg,mass,Dmass
Gaia DR3 3295060151707024512,DC,8937.0,8.101,0.057,0.64,0.051
Gaia DR3 3296109051440469632,DC,6152.0,7.982,0.055,0.561,0.048
Gaia DR3 3296186670088502272,DC,,,,,
Gaia DR3 3296344965403543680,DC,7907.0,8.273,0.04,0.75,0.037
Gaia DR3 3297770830123085440,DC,12114.0,7.787,0.083,0.469,0.061
Gaia DR3 3302344210082500736,DC:,8333.0,7.969,0.086,0.558,0.074
Gaia DR3 3302872250541223168,DC,6456.0,7.79,0.064,0.455,0.049
Gaia DR3 3302895305926042368,DC,8640.0,7.901,0.1,0.521,0.082
Gaia DR3 3304743314391604480,DC,8904.0,8.008,0.062,0.583,0.054
Gaia DR3 3304780594707721856,DC:,12271.0,6.513,0.034,0.129,0.008
Gaia DR3 3305926659483399680,DC,8802.0,7.762,0.084,0.447,0.063
Gaia DR3 3306797541412281856,DC,10690.0,7.662,0.086,0.406,0.058
Gaia DR3 3308160076837152640,DC:,7120.0,8.238,0.09,0.726,0.083
Gaia DR3 3308512951350551808,DC:,6464.0,7.731,0.092,0.425,0.069
Gaia DR3 3309135927767125760,DC:,8755.0,7.353,0.119,0.281,0.06
Gaia DR3 330963788918446848,DC,9772.0,7.876,0.083,0.509,0.066
Gaia DR3 3310017121912181888,DC:,4078.0,7.98,0.096,0.556,0.084
Gaia DR3 331073366421472384,DC,7651.0,7.968,0.054,0.557,0.045
Gaia DR3 3313481335158634752,DC,7024.0,8.058,0.07,0.61,0.062
Gaia DR3 3314751030571807744,DC,10101.0,8.094,0.106,0.638,0.094
Gaia DR3 3315666786317296384,DC:,7103.0,7.93,0.112,0.534,0.094
Gaia DR3 331669606664764544,DC:,9647.0,8.256,0.14,0.741,0.127
Gaia DR3 3316943151816503040,DC:,10899.0,8.107,0.114,0.647,0.102
Gaia DR3 3317667592543139840,DC,9959.0,8.046,0.075,0.608,0.065
Gaia DR3 3317902952453129856,DC,10247.0,8.31,0.126,0.778,0.113
Gaia DR3 3318833895203268736,DC,11466.0,8.189,0.062,0.7,0.056
Gaia DR3 3319706430692471808,DC:,9114.0,8.031,0.13,0.597,0.115
Gaia DR3 3321228356649833856,DC,8534.0,7.965,0.048,0.557,0.04
Gaia DR3 3322637174642526720,DC:,8740.0,7.962,0.162,0.555,0.141
Gaia DR3 3323011700088685824,DC,9742.0,8.031,0.086,0.599,0.074
Gaia DR3 3323695420223699968,DC:,6470.0,8.135,0.107,0.657,0.098
Gaia DR3 3325513531421839872,DC,9855.0,7.999,0.058,0.579,0.05
Gaia DR3 3325910974812939904,DC:,7895.0,7.973,0.079,0.56,0.067
Gaia DR3 332694110984435968,DC,9750.0,8.41,0.117,0.843,0.103
Gaia DR3 3327606761040653312,DC:,9403.0,7.855,0.11,0.497,0.088
Gaia DR3 3333812782624743936,DC,10178.0,7.702,0.069,0.423,0.047
Gaia DR3 3333879955913441280,DC:,9253.0,7.63,0.109,0.387,0.073
Gaia DR3 3334382054770280704,DC:,6702.0,7.672,0.11,0.398,0.078
Gaia DR3 3336964704504670592,DC:,11168.0,8.886,0.086,1.133,0.05
Gaia DR3 3339221280322729600,DC,7541.0,8.007,0.05,0.579,0.044
Gaia DR3 3339917546061161856,DC:,12891.0,8.588,0.06,0.963,0.048
Gaia DR3 3340193454765617536,DC:,6362.0,8.085,0.109,0.625,0.099
Gaia DR3 3345943419537000064,DC,8897.0,8.079,0.096,0.626,0.086
Gaia DR3 3346524412647596032,DC:,7301.0,7.504,0.055,0.328,0.032
Gaia DR3 3348255142734324736,DC:,8981.0,8.34,0.041,0.796,0.038
Gaia DR3 3349891426493769856,DC:,9768.0,7.688,0.139,0.415,0.099
Gaia DR3 3350005565249900032,DC:,8688.0,7.971,0.098,0.56,0.084
Gaia DR3 3351056698361943040,DC,8915.0,8.123,0.08,0.654,0.072
Gaia DR3 3352884911323300608,DC,11038.0,8.105,0.112,0.646,0.1
Gaia DR3 3356610026651632768,DC,11077.0,8.35,0.067,0.805,0.06
Gaia DR3 335681930753325696,DC:,8166.0,7.882,0.066,0.509,0.053
Gaia DR3 3362824805674085120,DC,9881.0,8.059,0.057,0.616,0.05
Gaia DR3 3363547287892681728,DC:,7874.0,7.503,0.074,0.33,0.043
Gaia DR3 336480657230918528,DC,10193.0,7.993,0.122,0.577,0.105
Gaia DR3 3367231446415876608,DC,9383.0,8.062,0.121,0.616,0.108
Gaia DR3 3370893434316850560,DC,9377.0,8.121,0.076,0.654,0.068
Gaia DR3 3376658143718763136,DC,9151.0,8.078,0.106,0.626,0.094
Gaia DR3 337796295909607424,DC:,7791.0,8.097,0.112,0.636,0.101
Gaia DR3 3380285771878638208,DC:,10058.0,7.88,0.071,0.512,0.057
Gaia DR3 3381235200167245952,DC:,10313.0,7.993,0.072,0.577,0.061
Gaia DR3 3383922853263697920,DC:,8094.0,7.174,0.104,0.228,0.04
Gaia DR3 3387150641444574336,DC,9507.0,8.086,0.077,0.631,0.069
Gaia DR3 3387301553710111488,DC,5364.0,7.857,0.063,0.487,0.05
Gaia DR3 3388121647650814592,DC,8765.0,7.847,0.073,0.491,0.058
Gaia DR3 3389401994581451392,DC:,9114.0,7.728,0.091,0.432,0.066
Gaia DR3 3392924245721037568,DC,10203.0,7.761,0.119,0.451,0.089
Gaia DR3 339422606749883904,DC,9335.0,8.076,0.048,0.625,0.042
Gaia DR3 3394620998321287040,DC:,7777.0,8.086,0.056,0.628,0.051
Gaia DR3 3395588366690415872,DC,9329.0,7.766,0.078,0.451,0.058
Gaia DR3 3397681248421699456,DC,7713.0,7.906,0.11,0.521,0.092
Gaia DR3 3398441354554013824,DC,9616.0,8.098,0.092,0.639,0.083
Gaia DR3 3400665494776033024,DC:,7673.0,7.974,0.052,0.56,0.044
Gaia DR3 3400802796291679744,DC,10576.0,7.759,0.083,0.451,0.06
Gaia DR3 3400871343968111488,DC,7167.0,8.123,0.048,0.651,0.044
Gaia DR3 3402583180495387136,DC:,6259.0,7.832,0.124,0.477,0.1
Gaia DR3 3403367201003988992,DC:,7867.0,7.774,0.071,0.451,0.053
Gaia DR3 3403417160064248704,DC,8368.0,7.932,0.082,0.538,0.068
Gaia DR3 3404641260102690432,DC,7289.0,7.653,0.059,0.391,0.04
Gaia DR3 3406020258136745472,DC:,9149.0,7.175,0.091,0.235,0.034
Gaia DR3 3406677559933089152,DC,8097.0,8.277,0.059,0.753,0.054
Gaia DR3 3407034931275907840,DC:,11737.0,7.83,0.158,0.49,0.125
Gaia DR3 34095511980072576,DC,10210.0,7.892,0.103,0.519,0.084
Gaia DR3 341078475558126336,DC,9528.0,8.011,0.035,0.586,0.03
Gaia DR3 3411695245669313280,DC,9727.0,7.536,0.074,0.35,0.044
Gaia DR3 3412008743923218176,DC:,7208.0,8.018,0.08,0.585,0.071
Gaia DR3 3414500890107696896,DC,12610.0,6.202,0.529,0.081,0.057
Gaia DR3 3416563539559933696,DC:,8290.0,8.349,0.056,0.801,0.051
Gaia DR3 341703371822583552,DC:,9027.0,8.278,0.09,0.754,0.083
Gaia DR3 3417618216025429120,DC:,9109.0,8.169,0.075,0.683,0.068
Gaia DR3 3420007935828387328,DC,10810.0,8.491,0.044,0.898,0.038
Gaia DR3 3420174885502480896,DC,6697.0,7.714,0.07,0.418,0.05
Gaia DR3 3420430556315892480,DC,7766.0,7.758,0.074,0.443,0.054
Gaia DR3 3423222559935120000,DC:,10111.0,8.543,0.079,0.931,0.065
Gaia DR3 3423793206471860992,DC:,7334.0,8.125,0.085,0.653,0.076
Gaia DR3 3425192266297052416,DC,10422.0,8.059,0.108,0.617,0.095
Gaia DR3 3426446332326536576,DC,9059.0,8.09,0.081,0.633,0.072
Gaia DR3 3426730276906449152,DC,8772.0,7.997,0.079,0.576,0.068
Gaia DR3 3427892632495053952,DC,9173.0,8.084,0.078,0.63,0.069
Gaia DR3 3428162425161398912,DC:,10797.0,7.923,0.128,0.538,0.106
Gaia DR3 3428644561010774912,DC,9599.0,7.887,0.035,0.515,0.028
Gaia DR3 3430237512842775424,DC,9476.0,8.006,0.109,0.583,0.095
Gaia DR3 3431511571939740928,DC:,7238.0,7.532,0.097,0.339,0.059
Gaia DR3 343563165676890752,DC:,7180.0,8.113,0.123,0.644,0.113
Gaia DR3 3437939488714463616,DC:,8418.0,7.955,0.15,0.55,0.13
Gaia DR3 3440026640958126720,DC:,10622.0,7.704,0.103,0.425,0.073
Gaia DR3 3440211251534277376,DC:,7482.0,7.706,0.106,0.416,0.077
Gaia DR3 344073407792001024,DC,10705.0,7.929,0.071,0.541,0.058
Gaia DR3 3444550100514643456,DC,9747.0,7.987,0.083,0.572,0.071
Gaia DR3 3448786583240936192,DC,8165.0,7.998,0.15,0.575,0.133
Gaia DR3 3451877069905099776,DC:,8943.0,7.903,0.105,0.522,0.087
Gaia DR3 3452691739303340288,DC:,10393.0,7.969,0.062,0.563,0.052
Gaia DR3 3453860520163204608,DC:,9617.0,8.012,0.128,0.587,0.111
Gaia DR3 3453970230808851328,DC,7767.0,7.155,0.029,0.221,0.01
Gaia DR3 3454830392497579136,DC:,9224.0,8.377,0.112,0.821,0.1
Gaia DR3 345575611258136576,DC,8052.0,8.012,0.079,0.584,0.068
Gaia DR3 3456472994151996544,DC:,8794.0,8.056,0.04,0.612,0.035
Gaia DR3 3457385554441117568,DC:,7622.0,7.581,0.08,0.361,0.05
Gaia DR3 3459056438454963584,DC:,6860.0,7.853,0.052,0.49,0.04
Gaia DR3 3459779917107043200,DC:,7405.0,8.036,0.103,0.597,0.091
Gaia DR3 3460488552349936640,DC,10480.0,7.732,0.083,0.438,0.059
Gaia DR3 3461003325653409152,DC:,9282.0,8.124,0.116,0.655,0.105
Gaia DR3 3461667052719687808,DC:,9857.0,8.011,0.074,0.587,0.063
Gaia DR3 3465195969649594240,DC,8472.0,7.73,0.114,0.431,0.083
Gaia DR3 3465500263788825344,DC:,8807.0,8.299,0.077,0.769,0.069
Gaia DR3 3466025688611100672,DC:,6807.0,7.904,0.092,0.518,0.077
Gaia DR3 346662512860939264,DC:,9592.0,8.062,0.095,0.617,0.084
Gaia DR3 3466994942470590848,DC:,7580.0,8.028,0.062,0.593,0.053
Gaia DR3 3468831023809167744,DC,8974.0,7.857,0.076,0.497,0.06
Gaia DR3 3469190740206734080,DC:,6963.0,7.882,0.076,0.506,0.062
Gaia DR3 3469219529372358784,DC:,7274.0,8.085,0.062,0.627,0.056
Gaia DR3 3470197819842365184,DC:,8307.0,7.843,0.061,0.488,0.048
Gaia DR3 3470447580780829184,DC:,7078.0,7.924,0.089,0.53,0.075
Gaia DR3 3470612267006850944,DC:,10524.0,8.174,0.087,0.689,0.078
Gaia DR3 3471616327281347968,DC:,11767.0,8.189,0.116,0.701,0.103
Gaia DR3 3473402041540585600,DC,9531.0,8.044,0.087,0.606,0.077
Gaia DR3 3473439351920397440,DC:,9480.0,7.913,0.132,0.529,0.11
Gaia DR3 3474077687138598400,DC:,10483.0,8.006,0.091,0.585,0.078
Gaia DR3 347421863079033088,DC,9461.0,7.312,0.064,0.273,0.028
Gaia DR3 347644789061419520,DC:,8369.0,7.727,0.098,0.429,0.072
Gaia DR3 3478063451150401792,DC:,9659.0,8.108,0.053,0.646,0.047
Gaia DR3 34799714818415872,DC,8772.0,7.905,0.084,0.523,0.069
Gaia DR3 3480232925030733824,DC,9914.0,7.63,0.061,0.39,0.039
Gaia DR3 3480358342369878144,DC,8991.0,8.152,0.064,0.672,0.059
Gaia DR3 3481267324953848704,DC,9150.0,7.918,0.073,0.531,0.06
Gaia DR3 3483244453018284032,DC,5944.0,7.58,0.077,0.353,0.05
Gaia DR3 3483544413534252032,DC,8253.0,8.028,0.096,0.593,0.085
Gaia DR3 3486729526921631616,DC,10784.0,8.08,0.05,0.63,0.044
Gaia DR3 3487545192751181568,DC:,9011.0,7.787,0.086,0.461,0.064
Gaia DR3 3487709024280268160,DC,10412.0,8.024,0.066,0.596,0.056
Gaia DR3 348814325836133504,DC:,8056.0,7.759,0.078,0.444,0.057
Gaia DR3 3488870207341334784,DC,9099.0,7.825,0.051,0.481,0.038
Gaia DR3 3489609663270394240,DC:,11338.0,7.924,0.137,0.539,0.113
Gaia DR3 3490062215385066624,DC:,9412.0,8.174,0.138,0.687,0.125
Gaia DR3 3491487800929859072,DC,10527.0,8.246,0.095,0.736,0.086
Gaia DR3 3492372048796435456,DC,10279.0,7.855,0.092,0.5,0.072
Gaia DR3 3496400728120040064,DC:,8577.0,7.908,0.104,0.524,0.086
Gaia DR3 3496716287957233792,DC:,7341.0,7.351,0.142,0.274,0.073
Gaia DR3 3499334053344167680,DC,9396.0,7.361,0.064,0.287,0.03
Gaia DR3 3501065749798295168,DC,8902.0,7.924,0.065,0.534,0.053
Gaia DR3 3502701204625560576,DC,8403.0,8.035,0.092,0.598,0.081
Gaia DR3 351005759886926464,DC:,8159.0,7.99,0.127,0.571,0.11
Gaia DR3 3510978018922120960,DC:,9080.0,7.993,0.128,0.575,0.111
Gaia DR3 3512320110302087936,DC,9075.0,7.968,0.08,0.56,0.067
Gaia DR3 3514432753175377792,DC,9009.0,7.883,0.08,0.511,0.065
Gaia DR3 3514954338300189952,DC,7981.0,8.004,0.072,0.578,0.063
Gaia DR3 3516257053419050496,DC,9271.0,7.879,0.095,0.51,0.076
Gaia DR3 3518349797709397632,DC,10804.0,8.205,0.094,0.709,0.086
Gaia DR3 3519735044921095936,DC,9521.0,7.743,0.114,0.44,0.085
Gaia DR3 3519860496622195072,DC,,,,,
Gaia DR3 352158048070541056,DC:,9289.0,8.234,0.098,0.726,0.089
Gaia DR3 3521695749031387264,DC,8660.0,7.927,0.08,0.535,0.067
Gaia DR3 3521979874002824576,DC,7182.0,8.205,0.095,0.704,0.087
Gaia DR3 3523823961162477696,DC,10321.0,7.785,0.15,0.464,0.115
Gaia DR3 3524479235731308544,DC,9170.0,7.781,0.104,0.458,0.078
Gaia DR3 3524506826601252608,DC:,9189.0,7.972,0.058,0.562,0.049
Gaia DR3 3526184646986367104,DC,8901.0,7.892,0.049,0.516,0.04
Gaia DR3 3529827977548941696,DC,7873.0,8.103,0.094,0.64,0.081
Gaia DR3 3532612181508043904,DC:,9500.0,7.983,0.108,0.569,0.093
Gaia DR3 3533586589329371136,DC,9004.0,8.09,0.063,0.633,0.056
Gaia DR3 35350604503572480,DC,9358.0,7.958,0.051,0.555,0.042
Gaia DR3 3536523487966149376,DC,10495.0,8.111,0.096,0.649,0.086
Gaia DR3 3536906186731515520,DC,7975.0,7.954,0.057,0.549,0.048
Gaia DR3 353868608990355456,DC,9804.0,7.909,0.046,0.528,0.037
Gaia DR3 3539281303646591744,DC,9035.0,7.195,0.086,0.239,0.033
Gaia DR3 3539870607519095296,DC,7894.0,8.124,0.069,0.652,0.063
Gaia DR3 3541536539434442240,DC,8789.0,8.026,0.08,0.594,0.07
Gaia DR3 3544436673151105920,DC,7166.0,8.193,0.104,0.696,0.095
Gaia DR3 3545914176260569856,DC,8437.0,8.197,0.121,0.7,0.112
Gaia DR3 3546727780505904896,DC,9036.0,8.048,0.096,0.607,0.085
Gaia DR3 3547299148594257280,DC:,8672.0,8.423,0.093,0.851,0.082
Gaia DR3 3549180000673227392,DC,8289.0,8.044,0.05,0.604,0.043
Gaia DR3 3549886952290137984,DC,7046.0,7.847,0.081,0.487,0.065
Gaia DR3 3550907337736738944,DC:,9254.0,7.625,0.161,0.385,0.11
Gaia DR3 3550913896150102272,DC,8646.0,8.008,0.113,0.582,0.099
Gaia DR3 3551627101239697536,DC:,8611.0,8.307,0.085,0.774,0.077
Gaia DR3 3553397624197951616,DC:,9377.0,8.145,0.101,0.669,0.09
Gaia DR3 355379681564348160,DC,8551.0,8.067,0.07,0.618,0.062
Gaia DR3 3554511326397191296,DC,9614.0,8.124,0.076,0.656,0.068
Gaia DR3 3554628905422649344,DC:,6927.0,8.119,0.074,0.648,0.067
Gaia DR3 3554850147777511040,DC,10184.0,8.147,0.045,0.671,0.04
Gaia DR3 3555953542055622144,DC:,7633.0,8.078,0.101,0.623,0.091
Gaia DR3 3556025697506063872,DC,10134.0,7.903,0.064,0.525,0.052
Gaia DR3 355723283246072576,DC,10399.0,7.856,0.062,0.5,0.048
Gaia DR3 3558119103222433792,DC:,9774.0,7.864,0.155,0.503,0.127
Gaia DR3 3559404393658992000,DC,,,,,
Gaia DR3 3560606950142471296,DC,10393.0,8.111,0.096,0.649,0.085
Gaia DR3 3561229621617451264,DC,9719.0,7.899,0.028,0.522,0.022
Gaia DR3 3562184027773876352,DC:,8211.0,7.882,0.102,0.509,0.083
Gaia DR3 3569332949297927040,DC:,10254.0,8.115,0.082,0.651,0.074
Gaia DR3 3569879681455231872,DC,8268.0,8.111,0.076,0.645,0.068
Gaia DR3 3571764003867581440,DC:,8667.0,7.867,0.109,0.502,0.088
Gaia DR3 3572511259457112704,DC,9238.0,8.087,0.053,0.632,0.047
Gaia DR3 3574397746532294912,DC:,6701.0,8.186,0.099,0.691,0.09
Gaia DR3 3574813018330820992,DC:,8146.0,8.133,0.094,0.659,0.085
Gaia DR3 357569771288217728,DC:,8389.0,7.957,0.14,0.552,0.12
Gaia DR3 357579804331770752,DC:,8204.0,8.118,0.097,0.649,0.088
Gaia DR3 3577082032374449408,DC:,9956.0,7.882,0.107,0.513,0.087
Gaia DR3 3577087873528621184,DC,9138.0,7.943,0.115,0.545,0.097
Gaia DR3 3578706011047193088,DC:,7275.0,7.38,0.13,0.283,0.069
Gaia DR3 3583023071654773120,DC,7397.0,7.763,0.081,0.444,0.06
Gaia DR3 3586525329722790016,DC,8432.0,7.823,0.109,0.478,0.085
Gaia DR3 3587932154851370752,DC,10742.0,8.019,0.084,0.593,0.073
Gaia DR3 3590074037861245824,DC,9867.0,8.124,0.135,0.656,0.122
Gaia DR3 3590435433589193216,DC,9181.0,7.949,0.152,0.549,0.13
Gaia DR3 3591837581497289984,DC,8818.0,8.032,0.068,0.597,0.06
Gaia DR3 3592404860777244928,DC,9627.0,8.077,0.081,0.626,0.072
Gaia DR3 3592659676892033152,DC,10168.0,8.087,0.077,0.633,0.069
Gaia DR3 3595758852278333056,DC,7024.0,7.941,0.065,0.539,0.055
Gaia DR3 3597485600930276864,DC:,6353.0,7.975,0.059,0.558,0.051
Gaia DR3 3597989864450772096,DC:,6969.0,7.821,0.135,0.473,0.108
Gaia DR3 3599277976682162432,DC:,7841.0,7.739,0.104,0.434,0.076
Gaia DR3 3605105392604826624,DC,9519.0,7.882,0.087,0.512,0.07
Gaia DR3 3608443643050284672,DC:,,,,,
Gaia DR3 3610609066777084544,DC,7609.0,8.081,0.07,0.625,0.062
Gaia DR3 3611508295489250688,DC:,7821.0,7.873,0.072,0.503,0.058
Gaia DR3 361163903000186112,DC,,,,,
Gaia DR3 361246675610754304,DC,,,,,
Gaia DR3 3612651542769741696,DC:,10641.0,7.605,0.067,0.381,0.042
Gaia DR3 361581373821113344,DC,10020.0,7.904,0.139,0.526,0.115
Gaia DR3 3615964375599063168,DC:,9776.0,7.87,0.055,0.506,0.043
Gaia DR3 362219502882930304,DC:,9714.0,8.001,0.104,0.58,0.091
Gaia DR3 3622749285759764736,DC:,8658.0,8.107,0.103,0.643,0.093
Gaia DR3 3623046050820621440,DC:,8735.0,8.442,0.094,0.864,0.082
Gaia DR3 3624712193188052736,DC:,8362.0,7.485,0.087,0.325,0.05
Gaia DR3 3625297236453507456,DC:,9406.0,8.075,0.081,0.625,0.071
Gaia DR3 3625387602565988864,DC,9815.0,7.851,0.123,0.496,0.098
Gaia DR3 363047332059327488,DC:,9033.0,7.936,0.126,0.541,0.107
Gaia DR3 3630813516355052672,DC:,7782.0,7.999,0.114,0.575,0.1
Gaia DR3 3631264487921281024,DC,9028.0,8.045,0.082,0.605,0.073
Gaia DR3 3631796415326243584,DC:,8820.0,8.192,0.09,0.698,0.082
Gaia DR3 3631868772639702784,DC:,8309.0,7.951,0.067,0.548,0.056
Gaia DR3 3634238495075218176,DC,,,,,
Gaia DR3 363741158255989376,DC,7143.0,7.484,0.048,0.32,0.027
Gaia DR3 3641195762274234752,DC,9602.0,7.82,0.116,0.479,0.091
Gaia DR3 3641677687669518848,DC,8968.0,8.082,0.119,0.628,0.107
Gaia DR3 3642766758231763200,DC,9932.0,8.028,0.109,0.597,0.096
Gaia DR3 3643963675423494016,DC,8920.0,8.276,0.056,0.753,0.052
Gaia DR3 364516554471211776,DC,7986.0,7.893,0.106,0.515,0.087
Gaia DR3 3649935775908961792,DC,,,,,
Gaia DR3 3651939704570023808,DC,,,,,
Gaia DR3 3653722115997358848,DC,,,,,
Gaia DR3 3654251359047391872,DC,,,,,
Gaia DR3 3654376531574906496,DC,,,,,
Gaia DR3 3656304662652821376,DC:,8585.0,7.721,0.146,0.427,0.108
Gaia DR3 3658879890683473792,DC:,6094.0,7.791,0.072,0.455,0.054
Gaia DR3 365969696530354176,DC,,,,,
Gaia DR3 366103394564064640,DC,7779.0,7.934,0.077,0.537,0.065
Gaia DR3 3664198335801936256,DC,,,,,
Gaia DR3 3664830275814399616,DC,6187.0,8.036,0.076,0.594,0.067
Gaia DR3 3665818324450818560,DC:,6121.0,7.157,0.173,0.211,0.062
Gaia DR3 3668474680119033600,DC,,,,,
Gaia DR3 366977879969656192,DC,8812.0,8.289,0.04,0.762,0.036
Gaia DR3 3673210066247046144,DC:,,,,,
Gaia DR3 36776366143888384,DC:,8244.0,8.184,0.096,0.692,0.087
Gaia DR3 3678799605405561216,DC:,10396.0,8.235,0.095,0.729,0.086
Gaia DR3 3680498041632333312,DC,7514.0,8.207,0.076,0.706,0.07
Gaia DR3 3680684924249600768,DC,9904.0,8.234,0.084,0.727,0.076
Gaia DR3 3680973241110267776,DC:,9292.0,8.068,0.069,0.62,0.061
Gaia DR3 3680990622841751680,DC:,10264.0,8.259,0.15,0.744,0.135
Gaia DR3 3681753585127883392,DC,6575.0,7.862,0.078,0.494,0.062
Gaia DR3 3682458986260679808,DC:,,,,,
Gaia DR3 3682717410149729792,DC,,,,,
Gaia DR3 368279495578693504,DC,9470.0,7.976,0.081,0.565,0.069
Gaia DR3 3683383881697872256,DC:,10076.0,8.083,0.14,0.631,0.124
Gaia DR3 3684734391214970752,DC:,7448.0,7.71,0.143,0.418,0.106
Gaia DR3 3689230225541172736,DC:,,,,,
Gaia DR3 3689769295476431872,DC,,,,,
Gaia DR3 3689884538038829184,DC,,,,,
Gaia DR3 369102514392064128,DC:,6226.0,7.832,0.092,0.477,0.073
Gaia DR3 3693618273368769024,DC,,,,,
Gaia DR3 3694373848311736960,DC,6447.0,8.102,0.103,0.636,0.093
Gaia DR3 369487446540669824,DC,8510.0,8.091,0.066,0.633,0.058
Gaia DR3 369572147591436288,DC:,9109.0,7.873,0.164,0.506,0.136
Gaia DR3 3700592235105292032,DC,9210.0,8.274,0.116,0.752,0.106
Gaia DR3 3703260990343772288,DC,10167.0,8.065,0.052,0.62,0.046
Gaia DR3 3707206106785739392,DC,7147.0,8.267,0.09,0.745,0.082
Gaia DR3 370830122037555456,DC:,10072.0,7.858,0.154,0.501,0.125
Gaia DR3 3710824118515053952,DC:,6871.0,7.909,0.12,0.521,0.101
Gaia DR3 3712054059709080192,DC,,,,,
Gaia DR3 3712234757573714048,DC,,,,,
Gaia DR3 3713975220055979904,DC:,5534.0,7.702,0.074,0.407,0.053
Gaia DR3 3714527789073402752,DC,,,,,
Gaia DR3 3716242065142137728,DC:,8564.0,8.117,0.081,0.649,0.073
Gaia DR3 3718148034186637952,DC,,,,,
Gaia DR3 3718774858893817472,DC,9592.0,8.125,0.062,0.656,0.056
Gaia DR3 3719635673418972288,DC,,,,,
Gaia DR3 3726737625181271424,DC:,8475.0,8.042,0.11,0.603,0.097
Gaia DR3 3726832118757242752,DC,8234.0,8.141,0.085,0.664,0.077
Gaia DR3 3727040716728968064,DC,,,,,
Gaia DR3 3734605421152082560,DC:,9931.0,8.111,0.08,0.648,0.071
Gaia DR3 373574537420064512,DC,9770.0,8.299,0.066,0.77,0.059
Gaia DR3 3736092407550046208,DC,,,,,
Gaia DR3 3736760365159795328,DC:,9306.0,8.285,0.161,0.76,0.145
Gaia DR3 3740910261344119680,DC,,,,,
Gaia DR3 3741842131808220288,DC,8492.0,8.221,0.121,0.716,0.111
Gaia DR3 374254619721557504,DC,9668.0,8.091,0.125,0.635,0.111
Gaia DR3 3744153928020731904,DC,,,,,
Gaia DR3 3745416785844633344,DC,,,,,
Gaia DR3 3745961349042871168,DC:,8618.0,8.387,0.072,0.827,0.065
Gaia DR3 3746736882696964992,DC:,8846.0,8.095,0.103,0.636,0.092
Gaia DR3 374766373664409728,DC:,5281.0,7.582,0.073,0.351,0.047
Gaia DR3 3750072904055666176,DC:,9378.0,7.601,0.038,0.375,0.023
Gaia DR3 3750602288839638912,DC,9537.0,7.849,0.051,0.494,0.04
Gaia DR3 3758265502633041792,DC,9309.0,8.051,0.075,0.61,0.065
Gaia DR3 3762150081508907648,DC,10244.0,7.967,0.054,0.562,0.044
Gaia DR3 3763520240500666496,DC:,10700.0,8.087,0.109,0.634,0.097
Gaia DR3 376884170498948352,DC,10078.0,7.876,0.079,0.51,0.063
Gaia DR3 3771112574449055360,DC:,7643.0,7.895,0.067,0.515,0.054
Gaia DR3 377122146047208960,DC,10357.0,7.933,0.065,0.542,0.054
Gaia DR3 3773831975941446912,DC,8752.0,7.938,0.162,0.541,0.14
Gaia DR3 377426749423414912,DC,8041.0,8.182,0.074,0.69,0.068
Gaia DR3 3778200988474249088,DC,10342.0,8.051,0.103,0.612,0.09
Gaia DR3 3781450629449435264,DC,6588.0,7.383,0.08,0.281,0.042
Gaia DR3 3784004558738490240,DC,7614.0,7.667,0.07,0.398,0.048
Gaia DR3 3788300999207789440,DC:,10375.0,8.043,0.119,0.607,0.105
Gaia DR3 3788923769465888512,DC:,9561.0,8.229,0.099,0.723,0.09
Gaia DR3 3789525545923696000,DC,9334.0,8.126,0.047,0.656,0.042
Gaia DR3 3790734733835858176,DC:,9705.0,7.983,0.108,0.57,0.092
Gaia DR3 3791478038056069376,DC,,,,,
Gaia DR3 3792318374177333248,DC,7487.0,8.222,0.077,0.716,0.071
Gaia DR3 379638275327284736,DC,11621.0,7.894,0.099,0.524,0.079
Gaia DR3 3801890413170690688,DC,,,,,
Gaia DR3 3804120154033149952,DC,,,,,
Gaia DR3 380558944517643648,DC,6906.0,8.137,0.054,0.659,0.049
Gaia DR3 3807689031337867264,DC,,,,,
Gaia DR3 3808143404518042496,DC,,,,,
Gaia DR3 3808947834715074944,DC:,10547.0,7.897,0.071,0.523,0.057
Gaia DR3 3809031912992111744,DC,,,,,
Gaia DR3 381629873138840320,DC,8728.0,7.978,0.099,0.565,0.085
Gaia DR3 3816538794271570944,DC,,,,,
Gaia DR3 3820186497111076480,DC:,10654.0,8.057,0.111,0.616,0.098
Gaia DR3 3824078042423837696,DC,8194.0,8.033,0.057,0.597,0.049
Gaia DR3 3824212320281513344,DC,9850.0,7.647,0.112,0.397,0.074
Gaia DR3 3824814268537876352,DC,8376.0,8.017,0.08,0.587,0.069
Gaia DR3 3826413031458964864,DC:,7228.0,7.981,0.057,0.564,0.048
Gaia DR3 3827309610176393472,DC:,7654.0,8.223,0.087,0.717,0.079
Gaia DR3 3828457985647944576,DC:,8380.0,8.071,0.104,0.62,0.093
Gaia DR3 3829587901349023616,DC:,,,,,
Gaia DR3 3837609942479568512,DC:,6065.0,7.296,,0.267,
Gaia DR3 3838304898256075520,DC,8702.0,8.035,0.096,0.599,0.084
Gaia DR3 3838359770755105664,DC:,7813.0,8.087,0.098,0.629,0.089
Gaia DR3 3841220669945776128,DC:,,,,,
Gaia DR3 384389368152070144,DC,9454.0,7.452,0.122,0.318,0.067
