age,Dage
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.2566,
,
,
,
,
4.351,
,
,
,
2.548,
,
,
,
,
0.366,
,
,
,
1.915,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.3447,
,
,
,
,
,
,
0.9329,
,
0.1739,
,
,
0.5382,
,
,
0.814,
,
,
,
,
,
0.8281,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.001,0.0003
,
,
,
0.001,0.0002
,
,
,
,
0.0032,0.0005
,
,
,
,
,
,
,
0.09442,
,
,
,
,
0.1538,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
1.007,
,
,
,
,
,
,
,
,
,
,
,
,
0.1377,
,
0.287,
,
,
,
,
,
,
,
1.74,
,
0.0001,
,
,
,
0.2037,
,
,
,
,
1.53,
,
,
,
,
,
0.05546,
,
,
,
,
,
,
,
,
,
,
,
0.02191,
,
,
0.4582,
0.4954,
,
0.05149,
,
,
,
,
,
,
,
,
1.161,
,
,
,
,
,
,
,
,
,
,
,
1.752,
,
,
,
,
,
,
,
,
,
0.5765,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
1.773,
2.17,
,
,
,
0.5388,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.487,
,
,
,
,
,
,
,
,
,
,
0.1604,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
1.041,
,
,
,
0.0002,0.0001
,
,
,
,
,
,
,
,
,
0.06761,
,
,
,
,
,
0.47,
1.44,
,
,
,
,
,
,
0.1327,
,
,
,
,
,
,
,
,
0.5018,
0.4903,
,
,
,
,
,
,
,
1.121,
1.232,
,
,
,
,
,
,
,
,
3.093,
,
,
,
,
0.82,
0.521,
2.733,
,
,
,
,
,
,
,
0.2239,
,
,
,
0.689,
,
,
,
,
,
,
3.663,
,
,
,
,
0.5318,
,
0.4919,
,
,
11.18,
0.8337,
,
,
2.369,
,
,
0.8044,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.9094,
,
,
,
,
,
,
,
1.785,
,
,
0.0005,0.0004
,
,
,
,
,
